customer_id,tenure,Tenure_group,monthly_charges,total_charges,contract,payment_method,internet_service,tech_support,online_security,support_calls,churn,Churn_Value,Audit_Difference
19,22,1-2 Years,63.58,1398.76,Month-to-month,Debit,DSL,No,Yes,1,No,0,$0.00
20,49,4+ Years,33.19,1626.31,Two year,Debit,Fiber,Yes,Yes,0,No,0,$0.00
21,59,4+ Years,54.03,3187.77,Two year,Credit,Fiber,No,Yes,0,No,0,$0.00
22,42,2-4 Years,71.42,2999.64,One year,Credit,Fiber,No,No,0,No,0,$0.00
23,60,4+ Years,105.21,6312.60,Two year,Credit,Fiber,Yes,Yes,3,No,0,$0.00
24,15,1-2 Years,84.17,1262.55,Month-to-month,Credit,Fiber,No,Yes,1,Yes,1,$0.00
25,62,4+ Years,37.60,2331.20,Month-to-month,Cash,DSL,No,No,1,No,0,$0.00
26,62,4+ Years,35.87,2223.94,Month-to-month,Debit,DSL,Yes,Yes,1,No,0,$0.00
27,47,2-4 Years,61.23,2877.81,Two year,UPI,DSL,No,No,0,No,0,$0.00
28,62,4+ Years,27.52,1706.24,Month-to-month,Credit,Fiber,No,No,3,Yes,1,$0.00
29,51,4+ Years,95.56,4873.56,Month-to-month,UPI,DSL,No,No,3,Yes,1,$0.00
30,55,4+ Years,60.15,3308.25,Two year,UPI,Fiber,No,No,1,No,0,$0.00
31,64,4+ Years,54.30,3475.20,One year,UPI,DSL,No,Yes,3,No,0,$0.00
32,3,0-1 Year,70.91,212.73,Month-to-month,Cash,Fiber,No,No,3,Yes,1,$0.00
33,51,4+ Years,90.90,4635.90,Month-to-month,Credit,Not_Specified,No,No,6,Yes,1,$0.00
34,7,0-1 Year,76.93,538.51,Month-to-month,UPI,Fiber,No,Yes,2,No,0,$0.00
35,21,1-2 Years,100.24,2105.04,Month-to-month,UPI,Fiber,No,Yes,3,Yes,1,$0.00
36,39,2-4 Years,82.94,3234.66,Month-to-month,Debit,DSL,No,Yes,0,No,0,$0.00
37,18,1-2 Years,98.80,1778.40,Month-to-month,Credit,DSL,No,Yes,2,Yes,1,$0.00
38,4,0-1 Year,89.68,358.72,Month-to-month,Cash,Fiber,No,No,4,Yes,1,$0.00
39,60,4+ Years,39.31,2358.60,Month-to-month,Credit,Fiber,No,No,1,No,0,$0.00
40,14,1-2 Years,25.24,353.36,Month-to-month,Credit,Fiber,Yes,No,0,No,0,$0.00
41,9,0-1 Year,110.34,993.06,One year,Credit,Fiber,Yes,Yes,0,No,0,$0.00
42,53,4+ Years,114.57,6072.21,Month-to-month,Credit,Fiber,Yes,Yes,1,No,0,$0.00
43,2,0-1 Year,92.69,185.38,Month-to-month,Debit,Fiber,Yes,Yes,1,No,0,$0.00
44,60,4+ Years,92.42,5545.20,Month-to-month,UPI,Fiber,Yes,No,1,No,0,$0.00
45,71,4+ Years,47.01,3337.71,Two year,Debit,Fiber,Yes,No,1,No,0,$0.00
46,44,2-4 Years,74.24,3266.56,Two year,Cash,Not_Specified,No,No,1,No,0,$0.00
47,8,0-1 Year,119.22,953.76,Month-to-month,UPI,DSL,No,Yes,0,Yes,1,$0.00
48,47,2-4 Years,105.61,4963.67,Two year,Credit,Fiber,No,No,2,No,0,$0.00
49,35,2-4 Years,50.44,1765.40,Month-to-month,Debit,DSL,No,No,1,No,0,$0.00
50,36,2-4 Years,50.10,1803.60,Month-to-month,Credit,Fiber,No,No,3,Yes,1,$0.00
51,50,4+ Years,68.36,3418.00,Month-to-month,Credit,DSL,Yes,No,1,No,0,$0.00
52,4,0-1 Year,60.46,241.84,Month-to-month,Cash,DSL,No,Yes,1,Yes,1,$0.00
53,2,0-1 Year,57.12,114.24,One year,UPI,DSL,No,No,1,Yes,1,$0.00
54,6,0-1 Year,82.70,496.20,Month-to-month,Cash,Fiber,No,No,0,Yes,1,$0.00
55,54,4+ Years,21.15,1142.10,One year,Cash,Fiber,No,Yes,0,No,0,$0.00
56,4,0-1 Year,96.33,385.32,Month-to-month,UPI,DSL,Yes,Yes,1,Yes,1,$0.00
57,54,4+ Years,94.01,5076.54,Month-to-month,Cash,Fiber,No,Yes,2,No,0,$0.00
58,63,4+ Years,103.03,6490.89,Month-to-month,UPI,Not_Specified,No,No,1,Yes,1,$0.00
59,18,1-2 Years,104.15,1874.70,Month-to-month,Cash,Fiber,No,Yes,3,Yes,1,$0.00
60,44,2-4 Years,76.64,3372.16,One year,Debit,DSL,Yes,No,4,No,0,$0.00
61,34,2-4 Years,98.01,3332.34,One year,UPI,Fiber,No,Yes,3,Yes,1,$0.00
62,62,4+ Years,69.24,4292.88,Month-to-month,Credit,DSL,No,No,1,No,0,$0.00
63,14,1-2 Years,115.15,1612.10,Month-to-month,Cash,Fiber,No,No,1,Yes,1,$0.00
64,48,2-4 Years,39.07,1875.36,Month-to-month,Cash,DSL,No,No,3,Yes,1,$0.00
65,15,1-2 Years,111.56,1673.40,Two year,UPI,DSL,No,No,3,No,0,$0.00
66,72,4+ Years,45.85,3301.20,Month-to-month,Cash,Fiber,No,Yes,1,No,0,$0.00
67,62,4+ Years,30.27,1876.74,Month-to-month,Cash,DSL,No,Yes,2,No,0,$0.00
68,40,2-4 Years,63.91,2556.40,Month-to-month,UPI,Not_Specified,Yes,No,0,Yes,1,$0.00
69,53,4+ Years,81.49,4318.97,Month-to-month,UPI,Fiber,Yes,No,4,Yes,1,$0.00
70,24,1-2 Years,43.10,1034.40,Two year,Cash,Fiber,No,Yes,1,No,0,$0.00
71,26,2-4 Years,75.58,1965.08,Month-to-month,UPI,DSL,Yes,Yes,2,No,0,$0.00
72,60,4+ Years,100.79,6047.40,Two year,Cash,DSL,No,Yes,0,No,0,$0.00
73,41,2-4 Years,45.71,1874.11,One year,Cash,Fiber,No,No,1,No,0,$0.00
74,29,2-4 Years,78.03,2262.87,One year,Cash,DSL,Yes,No,3,No,0,$0.00
75,15,1-2 Years,53.93,808.95,One year,Credit,DSL,No,No,4,No,0,$0.00
76,45,2-4 Years,72.98,3284.10,One year,UPI,Fiber,No,Yes,2,No,0,$0.00
77,65,4+ Years,86.69,5634.85,Month-to-month,Credit,DSL,No,No,0,Yes,1,$0.00
78,71,4+ Years,55.04,3907.84,Month-to-month,Debit,Fiber,Yes,No,2,No,0,$0.00
79,9,0-1 Year,119.45,1075.05,Month-to-month,Debit,Fiber,Yes,No,1,No,0,$0.00
80,1,0-1 Year,76.38,76.38,Month-to-month,Cash,Fiber,No,Yes,1,Yes,1,$0.00
81,8,0-1 Year,102.45,819.60,Month-to-month,Credit,Fiber,Yes,Yes,1,Yes,1,$0.00
82,63,4+ Years,92.51,5828.13,Month-to-month,Cash,Not_Specified,Yes,No,1,No,0,$0.00
83,11,0-1 Year,105.28,1158.08,Month-to-month,Cash,Fiber,No,Yes,5,Yes,1,$0.00
84,8,0-1 Year,37.38,299.04,Month-to-month,Cash,Not_Specified,Yes,Yes,2,Yes,1,$0.00
85,35,2-4 Years,42.26,1479.10,Two year,Cash,Fiber,No,No,1,No,0,$0.00
86,35,2-4 Years,68.74,2405.90,One year,Cash,Not_Specified,No,No,0,No,0,$0.00
87,33,2-4 Years,105.23,3472.59,One year,Debit,Fiber,No,No,4,Yes,1,$0.00
88,5,0-1 Year,39.76,198.80,Month-to-month,UPI,DSL,Yes,No,3,Yes,1,$0.00
89,41,2-4 Years,117.11,4801.51,Month-to-month,UPI,DSL,Yes,Yes,0,No,0,$0.00
90,28,2-4 Years,32.76,917.28,Month-to-month,UPI,Not_Specified,No,No,0,No,0,$0.00
91,7,0-1 Year,37.51,262.57,Month-to-month,Debit,DSL,Yes,Yes,2,No,0,$0.00
92,72,4+ Years,36.72,2643.84,Month-to-month,Credit,Fiber,No,No,1,No,0,$0.00
93,12,0-1 Year,78.60,943.20,One year,Debit,DSL,No,No,0,No,0,$0.00
94,34,2-4 Years,111.75,3799.50,One year,Debit,Fiber,No,No,1,No,0,$0.00
95,33,2-4 Years,45.51,1501.83,Month-to-month,Credit,Fiber,No,No,3,Yes,1,$0.00
96,48,2-4 Years,75.30,3614.40,Two year,Cash,DSL,Yes,No,2,No,0,$0.00
97,23,1-2 Years,37.58,864.34,One year,Cash,Fiber,No,No,2,No,0,$0.00
98,62,4+ Years,83.11,5152.82,One year,Cash,DSL,No,No,1,No,0,$0.00
99,37,2-4 Years,32.32,1195.84,Month-to-month,Credit,DSL,No,No,2,No,0,$0.00
100,44,2-4 Years,69.13,3041.72,Two year,Debit,DSL,No,No,0,Yes,1,$0.00
101,35,2-4 Years,85.52,2993.20,Month-to-month,Debit,DSL,No,No,3,Yes,1,$0.00
102,65,4+ Years,77.91,5064.15,Month-to-month,Credit,Fiber,No,No,1,Yes,1,$0.00
103,47,2-4 Years,34.00,1598.00,One year,Cash,DSL,No,No,1,Yes,1,$0.00
104,3,0-1 Year,36.14,108.42,Month-to-month,Credit,DSL,No,Yes,1,Yes,1,$0.00
105,1,0-1 Year,87.14,87.14,Two year,Debit,DSL,Yes,No,1,Yes,1,$0.00
106,5,0-1 Year,100.89,504.45,Two year,UPI,Fiber,No,Yes,1,Yes,1,$0.00
107,14,1-2 Years,110.81,1551.34,Month-to-month,UPI,DSL,No,Yes,2,Yes,1,$0.00
108,27,2-4 Years,101.36,2736.72,Month-to-month,UPI,DSL,No,Yes,0,Yes,1,$0.00
109,9,0-1 Year,117.39,1056.51,Month-to-month,Cash,Fiber,No,No,1,Yes,1,$0.00
110,15,1-2 Years,60.83,912.45,Month-to-month,Cash,DSL,No,Yes,2,No,0,$0.00
111,42,2-4 Years,53.12,2231.04,Month-to-month,Cash,Not_Specified,No,No,1,No,0,$0.00
112,51,4+ Years,22.82,1163.82,Month-to-month,Cash,DSL,No,Yes,0,No,0,$0.00
113,63,4+ Years,64.99,4094.37,Month-to-month,Credit,Fiber,Yes,No,3,No,0,$0.00
114,52,4+ Years,85.14,4427.28,One year,UPI,Fiber,No,No,2,No,0,$0.00
115,4,0-1 Year,101.54,406.16,Month-to-month,UPI,DSL,No,No,2,Yes,1,$0.00
116,23,1-2 Years,46.75,1075.25,Two year,Cash,Fiber,Yes,No,3,No,0,$0.00
117,15,1-2 Years,71.36,1070.40,Month-to-month,Cash,Not_Specified,No,Yes,0,No,0,$0.00
118,43,2-4 Years,86.20,3706.60,Month-to-month,Credit,Fiber,Yes,No,2,No,0,$0.00
119,29,2-4 Years,75.16,2179.64,One year,Credit,DSL,No,No,0,Yes,1,$0.00
120,36,2-4 Years,47.40,1706.40,Month-to-month,Credit,DSL,No,No,1,No,0,$0.00
121,13,1-2 Years,99.63,1295.19,One year,UPI,Fiber,No,No,1,No,0,$0.00
122,32,2-4 Years,37.34,1194.88,One year,UPI,DSL,No,No,0,No,0,$0.00
123,71,4+ Years,110.50,7845.50,One year,UPI,Not_Specified,Yes,Yes,0,No,0,$0.00
124,59,4+ Years,115.26,6800.34,Month-to-month,UPI,Not_Specified,No,Yes,0,Yes,1,$0.00
125,28,2-4 Years,56.56,1583.68,One year,Credit,Not_Specified,Yes,No,2,No,0,$0.00
126,66,4+ Years,57.62,3802.92,One year,Cash,Fiber,Yes,No,4,No,0,$0.00
127,42,2-4 Years,94.33,3961.86,Month-to-month,UPI,Fiber,Yes,Yes,0,No,0,$0.00
128,45,2-4 Years,65.63,2953.35,One year,Credit,Fiber,No,No,3,No,0,$0.00
129,62,4+ Years,22.86,1417.32,Month-to-month,Cash,Fiber,No,No,0,No,0,$0.00
130,57,4+ Years,111.99,6383.43,Month-to-month,Debit,DSL,Yes,No,0,Yes,1,$0.00
131,6,0-1 Year,63.08,378.48,Month-to-month,Cash,DSL,No,Yes,0,No,0,$0.00
132,28,2-4 Years,40.35,1129.80,Month-to-month,Debit,Fiber,No,No,1,No,0,$0.00
133,28,2-4 Years,75.57,2115.96,Month-to-month,Debit,DSL,Yes,Yes,3,No,0,$0.00
134,44,2-4 Years,41.89,1843.16,Month-to-month,UPI,DSL,Yes,No,1,No,0,$0.00
135,30,2-4 Years,40.60,1218.00,Month-to-month,Credit,DSL,No,Yes,4,Yes,1,$0.00
136,62,4+ Years,74.57,4623.34,Month-to-month,Cash,Not_Specified,Yes,Yes,1,No,0,$0.00
137,62,4+ Years,59.10,3664.20,Two year,Debit,Fiber,Yes,No,1,No,0,$0.00
138,1,0-1 Year,77.30,77.30,Month-to-month,Credit,Fiber,No,Yes,1,Yes,1,$0.00
139,27,2-4 Years,119.68,3231.36,Two year,Cash,Fiber,Yes,Yes,1,No,0,$0.00
140,62,4+ Years,105.90,6565.80,Month-to-month,UPI,DSL,No,Yes,1,Yes,1,$0.00
141,3,0-1 Year,20.77,62.31,One year,Cash,Fiber,No,Yes,1,No,0,$0.00
142,70,4+ Years,25.06,1754.20,Month-to-month,UPI,DSL,No,No,0,No,0,$0.00
143,72,4+ Years,81.01,5832.72,Month-to-month,Cash,DSL,Yes,No,0,No,0,$0.00
144,27,2-4 Years,82.63,2231.01,Two year,Cash,Not_Specified,Yes,Yes,0,No,0,$0.00
145,9,0-1 Year,107.82,970.38,One year,Debit,DSL,Yes,No,2,No,0,$0.00
146,62,4+ Years,82.91,5140.42,One year,Debit,DSL,Yes,No,2,No,0,$0.00
147,37,2-4 Years,42.77,1582.49,Month-to-month,Debit,DSL,No,No,1,No,0,$0.00
148,51,4+ Years,66.85,3409.35,One year,UPI,Fiber,No,No,1,No,0,$0.00
149,44,2-4 Years,100.90,4439.60,Month-to-month,Cash,Fiber,No,Yes,0,Yes,1,$0.00
150,24,1-2 Years,112.28,2694.72,Month-to-month,Cash,Not_Specified,No,Yes,1,Yes,1,$0.00
151,59,4+ Years,43.69,2577.71,Month-to-month,UPI,Fiber,No,No,1,No,0,$0.00
152,32,2-4 Years,73.96,2366.72,Month-to-month,Cash,Fiber,No,Yes,2,No,0,$0.00
153,52,4+ Years,35.89,1866.28,Month-to-month,Debit,Fiber,No,No,2,No,0,$0.00
154,62,4+ Years,69.70,4321.40,One year,UPI,DSL,No,Yes,0,No,0,$0.00
155,58,4+ Years,29.01,1682.58,Two year,UPI,Fiber,No,No,1,No,0,$0.00
156,52,4+ Years,114.17,5936.84,Month-to-month,Cash,DSL,No,No,0,Yes,1,$0.00
157,12,0-1 Year,83.81,1005.72,Two year,Debit,Not_Specified,No,No,1,No,0,$0.00
158,39,2-4 Years,105.42,4111.38,One year,Cash,Fiber,Yes,Yes,2,No,0,$0.00
159,2,0-1 Year,119.83,239.66,Month-to-month,Cash,Fiber,Yes,Yes,3,Yes,1,$0.00
160,3,0-1 Year,38.27,114.81,Month-to-month,UPI,Fiber,No,No,3,Yes,1,$0.00
161,56,4+ Years,89.41,5006.96,Month-to-month,UPI,Fiber,No,No,1,Yes,1,$0.00
162,59,4+ Years,108.70,6413.30,Month-to-month,Credit,Fiber,No,Yes,0,Yes,1,$0.00
163,2,0-1 Year,77.59,155.18,Two year,Cash,DSL,Yes,Yes,2,No,0,$0.00
164,2,0-1 Year,83.97,167.94,Month-to-month,Credit,DSL,Yes,No,1,Yes,1,$0.00
165,54,4+ Years,60.77,3281.58,Month-to-month,Cash,DSL,No,No,1,No,0,$0.00
166,1,0-1 Year,87.48,87.48,Month-to-month,Credit,DSL,Yes,Yes,1,Yes,1,$0.00
167,19,1-2 Years,59.56,1131.64,Month-to-month,Cash,Fiber,No,No,1,No,0,$0.00
168,2,0-1 Year,67.66,135.32,Month-to-month,UPI,Fiber,Yes,No,2,No,0,$0.00
169,53,4+ Years,30.29,1605.37,Month-to-month,UPI,DSL,Yes,No,1,Yes,1,$0.00
170,44,2-4 Years,20.78,914.32,Two year,Credit,Fiber,Yes,No,1,No,0,$0.00
171,32,2-4 Years,25.52,816.64,Month-to-month,Credit,Fiber,Yes,Yes,1,No,0,$0.00
172,70,4+ Years,39.25,2747.50,Month-to-month,Credit,DSL,No,No,1,No,0,$0.00
173,32,2-4 Years,65.66,2101.12,Two year,Debit,Fiber,No,Yes,1,No,0,$0.00
174,68,4+ Years,22.10,1502.80,Month-to-month,Credit,Fiber,Yes,Yes,2,No,0,$0.00
175,55,4+ Years,35.59,1957.45,Month-to-month,Credit,Fiber,No,Yes,1,No,0,$0.00
176,56,4+ Years,98.14,5495.84,Month-to-month,Credit,DSL,No,No,1,No,0,$0.00
177,17,1-2 Years,96.22,1635.74,Month-to-month,Debit,Fiber,Yes,Yes,2,No,0,$0.00
178,38,2-4 Years,98.97,3760.86,Month-to-month,Debit,Fiber,No,No,2,Yes,1,$0.00
179,24,1-2 Years,112.15,2691.60,Month-to-month,Cash,Not_Specified,No,No,1,Yes,1,$0.00
180,69,4+ Years,31.91,2201.79,Month-to-month,UPI,Fiber,No,No,1,No,0,$0.00
181,70,4+ Years,36.31,2541.70,One year,Credit,Fiber,Yes,Yes,3,No,0,$0.00
182,11,0-1 Year,53.36,586.96,Month-to-month,Credit,DSL,No,No,1,No,0,$0.00
183,16,1-2 Years,111.51,1784.16,Month-to-month,UPI,Fiber,Yes,No,3,No,0,$0.00
184,59,4+ Years,97.55,5755.45,Two year,Cash,DSL,No,No,0,No,0,$0.00
185,70,4+ Years,52.41,3668.70,One year,Cash,DSL,Yes,No,1,No,0,$0.00
186,3,0-1 Year,28.76,86.28,One year,Credit,Fiber,No,Yes,0,No,0,$0.00
187,20,1-2 Years,81.64,1632.80,Month-to-month,UPI,DSL,No,No,2,Yes,1,$0.00
188,59,4+ Years,45.68,2695.12,Month-to-month,Credit,DSL,Yes,Yes,1,No,0,$0.00
189,36,2-4 Years,73.12,2632.32,Month-to-month,Credit,DSL,No,Yes,1,No,0,$0.00
190,19,1-2 Years,114.18,2169.42,One year,Credit,Fiber,Yes,Yes,3,No,0,$0.00
191,67,4+ Years,77.26,5176.42,Month-to-month,UPI,Fiber,No,No,0,No,0,$0.00
192,19,1-2 Years,112.38,2135.22,One year,UPI,Not_Specified,No,No,2,No,0,$0.00
193,20,1-2 Years,59.30,1186.00,Two year,Cash,DSL,No,Yes,0,No,0,$0.00
194,71,4+ Years,83.34,5917.14,One year,UPI,Fiber,No,Yes,2,No,0,$0.00
195,52,4+ Years,109.39,5688.28,One year,UPI,DSL,No,No,0,No,0,$0.00
196,33,2-4 Years,78.80,2600.40,Month-to-month,UPI,Fiber,No,Yes,4,Yes,1,$0.00
197,40,2-4 Years,81.49,3259.60,Month-to-month,Debit,DSL,Yes,Yes,1,No,0,$0.00
198,39,2-4 Years,91.63,3573.57,Month-to-month,Cash,DSL,Yes,No,0,No,0,$0.00
199,1,0-1 Year,108.21,108.21,Month-to-month,UPI,Not_Specified,Yes,No,0,Yes,1,$0.00
200,11,0-1 Year,28.82,317.02,Month-to-month,Credit,Fiber,No,No,1,No,0,$0.00
201,57,4+ Years,53.69,3060.33,Month-to-month,Debit,DSL,Yes,Yes,1,No,0,$0.00
202,50,4+ Years,59.77,2988.50,Two year,Debit,DSL,No,Yes,3,No,0,$0.00
203,23,1-2 Years,110.97,2552.31,Two year,Cash,Fiber,Yes,No,3,No,0,$0.00
204,31,2-4 Years,115.60,3583.60,Two year,Debit,DSL,Yes,No,2,No,0,$0.00
205,42,2-4 Years,32.04,1345.68,Month-to-month,Debit,Fiber,No,Yes,0,No,0,$0.00
206,7,0-1 Year,31.91,223.37,Month-to-month,Cash,Fiber,No,No,1,No,0,$0.00
207,16,1-2 Years,113.49,1815.84,Month-to-month,UPI,Fiber,No,No,3,Yes,1,$0.00
208,60,4+ Years,49.58,2974.80,Month-to-month,Cash,Fiber,No,No,1,No,0,$0.00
209,2,0-1 Year,44.18,88.36,One year,Credit,Fiber,Yes,Yes,1,No,0,$0.00
210,1,0-1 Year,23.56,23.56,Month-to-month,UPI,Fiber,No,No,0,Yes,1,$0.00
211,48,2-4 Years,47.56,2282.88,Month-to-month,UPI,DSL,No,No,2,No,0,$0.00
212,12,0-1 Year,89.35,1072.20,Month-to-month,Debit,Fiber,No,Yes,0,Yes,1,$0.00
213,69,4+ Years,62.60,4319.40,Month-to-month,UPI,Not_Specified,Yes,No,1,No,0,$0.00
214,37,2-4 Years,71.69,2652.53,One year,Debit,Fiber,No,Yes,1,No,0,$0.00
215,32,2-4 Years,111.73,3575.36,Two year,UPI,DSL,Yes,No,1,No,0,$0.00
216,9,0-1 Year,31.47,283.23,Two year,Cash,Fiber,No,Yes,5,No,0,$0.00
217,19,1-2 Years,27.12,515.28,Month-to-month,Debit,DSL,Yes,Yes,3,No,0,$0.00
218,48,2-4 Years,105.19,5049.12,Two year,Cash,Fiber,No,No,3,Yes,1,$0.00
219,3,0-1 Year,97.49,292.47,Month-to-month,Debit,DSL,Yes,No,1,Yes,1,$0.00
220,20,1-2 Years,46.37,927.40,One year,Debit,Fiber,No,Yes,4,No,0,$0.00
221,24,1-2 Years,52.42,1258.08,Two year,Debit,Fiber,No,Yes,3,No,0,$0.00
222,54,4+ Years,51.03,2755.62,Month-to-month,UPI,Fiber,No,Yes,1,No,0,$0.00
223,33,2-4 Years,84.78,2797.74,Two year,UPI,Fiber,No,No,1,No,0,$0.00
224,24,1-2 Years,26.12,626.88,Month-to-month,Cash,Fiber,No,No,6,Yes,1,$0.00
225,72,4+ Years,68.94,4963.68,Month-to-month,Credit,Fiber,No,No,3,Yes,1,$0.00
226,36,2-4 Years,33.39,1202.04,Month-to-month,Cash,DSL,No,Yes,1,Yes,1,$0.00
227,38,2-4 Years,101.97,3874.86,One year,Credit,Fiber,No,No,4,Yes,1,$0.00
228,25,2-4 Years,58.07,1451.75,One year,Debit,DSL,No,No,1,No,0,$0.00
229,18,1-2 Years,72.76,1309.68,One year,Credit,DSL,Yes,No,3,No,0,$0.00
230,66,4+ Years,22.93,1513.38,Month-to-month,Credit,DSL,Yes,No,0,No,0,$0.00
231,54,4+ Years,25.83,1394.82,Month-to-month,Debit,DSL,Yes,Yes,0,No,0,$0.00
232,35,2-4 Years,87.51,3062.85,One year,Cash,DSL,Yes,No,0,Yes,1,$0.00
233,61,4+ Years,96.68,5897.48,Month-to-month,Debit,DSL,Yes,No,2,No,0,$0.00
234,41,2-4 Years,91.00,3731.00,Month-to-month,Debit,Not_Specified,No,No,1,Yes,1,$0.00
235,33,2-4 Years,93.70,3092.10,Month-to-month,Credit,DSL,Yes,No,0,No,0,$0.00
236,68,4+ Years,30.46,2071.28,Month-to-month,Debit,Fiber,No,No,1,No,0,$0.00
237,33,2-4 Years,89.35,2948.55,Month-to-month,Cash,Fiber,Yes,No,2,Yes,1,$0.00
238,14,1-2 Years,38.17,534.38,Month-to-month,Credit,Fiber,Yes,Yes,2,No,0,$0.00
239,21,1-2 Years,29.80,625.80,Two year,Cash,Not_Specified,No,Yes,1,No,0,$0.00
240,48,2-4 Years,95.72,4594.56,One year,Debit,DSL,Yes,No,1,No,0,$0.00
241,20,1-2 Years,108.94,2178.80,One year,Cash,Fiber,No,No,1,Yes,1,$0.00
242,8,0-1 Year,91.67,733.36,Month-to-month,Cash,DSL,No,No,1,Yes,1,$0.00
243,7,0-1 Year,100.56,703.92,One year,Debit,Fiber,No,Yes,1,No,0,$0.00
244,67,4+ Years,119.11,7980.37,Month-to-month,UPI,Fiber,Yes,Yes,0,Yes,1,$0.00
245,17,1-2 Years,33.48,569.16,Month-to-month,Cash,DSL,No,Yes,1,Yes,1,$0.00
246,33,2-4 Years,116.52,3845.16,Month-to-month,UPI,DSL,No,Yes,4,Yes,1,$0.00
247,48,2-4 Years,80.12,3845.76,One year,Debit,DSL,Yes,No,1,No,0,$0.00
248,59,4+ Years,101.33,5978.47,Month-to-month,UPI,Not_Specified,No,Yes,1,Yes,1,$0.00
249,22,1-2 Years,85.02,1870.44,Month-to-month,UPI,Fiber,No,No,0,Yes,1,$0.00
250,30,2-4 Years,77.00,2310.00,Month-to-month,UPI,Fiber,No,No,1,No,0,$0.00
251,38,2-4 Years,90.36,3433.68,One year,UPI,Fiber,No,Yes,1,No,0,$0.00
252,51,4+ Years,52.03,2653.53,One year,Cash,DSL,Yes,No,0,No,0,$0.00
253,54,4+ Years,112.43,6071.22,Two year,Cash,Fiber,Yes,No,2,No,0,$0.00
254,8,0-1 Year,31.53,252.24,Month-to-month,Credit,DSL,No,No,1,No,0,$0.00
255,27,2-4 Years,51.80,1398.60,Two year,UPI,DSL,No,No,2,Yes,1,$0.00
256,27,2-4 Years,23.12,624.24,One year,Debit,Fiber,No,Yes,3,No,0,$0.00
257,21,1-2 Years,47.13,989.73,Month-to-month,Cash,DSL,Yes,No,4,No,0,$0.00
258,30,2-4 Years,41.82,1254.60,One year,UPI,Fiber,Yes,No,0,No,0,$0.00
259,28,2-4 Years,24.96,698.88,Month-to-month,Debit,DSL,No,Yes,1,No,0,$0.00
260,64,4+ Years,69.18,4427.52,Month-to-month,Credit,Fiber,No,No,1,No,0,$0.00
261,69,4+ Years,66.86,4613.34,Month-to-month,Debit,DSL,No,Yes,3,Yes,1,$0.00
262,61,4+ Years,27.77,1693.97,Month-to-month,Debit,Fiber,No,Yes,3,No,0,$0.00
263,48,2-4 Years,46.19,2217.12,Month-to-month,UPI,Fiber,Yes,No,2,No,0,$0.00
264,19,1-2 Years,115.33,2191.27,Two year,Cash,Not_Specified,No,No,2,No,0,$0.00
265,4,0-1 Year,31.07,124.28,Month-to-month,Debit,Not_Specified,No,Yes,0,Yes,1,$0.00
266,35,2-4 Years,50.50,1767.50,Month-to-month,Debit,Not_Specified,Yes,No,2,Yes,1,$0.00
267,64,4+ Years,23.59,1509.76,Month-to-month,Credit,DSL,No,Yes,2,No,0,$0.00
268,49,4+ Years,34.89,1709.61,Month-to-month,Cash,DSL,No,No,3,Yes,1,$0.00
269,17,1-2 Years,89.94,1528.98,Two year,Cash,Fiber,No,Yes,0,No,0,$0.00
270,44,2-4 Years,56.67,2493.48,Month-to-month,Cash,Not_Specified,No,No,2,No,0,$0.00
271,30,2-4 Years,65.21,1956.30,Month-to-month,Cash,Not_Specified,No,Yes,0,Yes,1,$0.00
